index,meta_score,pu_label,is_calib,pval_unweighted,pval_weighted,weight
174,0.7781903167630946,1,0,0.00036656891495601173,0.0011549414874260453,2.5192373767175527
175,0.8320515166297957,1,0,0.00036656891495601173,0.002815045905959444,6.150593127826943
176,0.6960894025205038,1,0,0.00036656891495601173,3.095237592921381e-05,0.06743955072137782
177,0.6096439078695574,1,0,0.00036656891495601173,0.0005635081398629841,1.2284351241459701
178,0.7173219828745305,1,0,0.00036656891495601173,0.0022612634457222646,4.937891725320517
179,0.7433596314081722,1,0,0.00036656891495601173,0.0018443672287635578,4.025838690321492
180,0.7790970933584807,1,0,0.00036656891495601173,0.0005470017984001777,1.1924319756586135
182,0.7731174125064195,-1,0,0.00036656891495601173,0.0033464426971801377,7.3155402789784265
183,0.7375618305845667,-1,0,0.00036656891495601173,0.0010439850523800316,2.2769586752224806
184,0.7273344465761672,-1,0,0.00036656891495601173,0.00247124200310252,5.397555123413012
185,0.7099125528255823,-1,0,0.00036656891495601173,0.008563094384662084,18.817974861970015
186,0.688813494860155,-1,0,0.00036656891495601173,0.0002578896139778444,0.5620217214853117
187,0.717431161889667,-1,0,0.00036656891495601173,0.0018849716386582101,4.114636362499375
188,0.773375988480269,1,0,0.00036656891495601173,0.008961684683593547,19.701824588973466
189,0.7602577007920691,1,0,0.00036656891495601173,0.0005330381279917045,1.1619757553185097
190,0.8018049185225808,1,0,0.00036656891495601173,0.0021152738329682733,4.618420327590082
191,0.7547253654050028,1,0,0.00036656891495601173,0.0006455935070461572,1.407494986043412
192,0.6179469091258614,1,0,0.00036656891495601173,0.0005679947973909553,1.238221495678481
193,0.690443270915154,1,0,0.00036656891495601173,0.0013402645367069485,2.9240192036516777
194,0.6880127293706099,1,0,0.00036656891495601173,0.001720066640547895,3.7540509800590325
195,0.7581096751808387,1,0,0.00036656891495601173,0.0018806090037893333,4.1050953818979155
196,0.5690757974902474,1,0,0.0007331378299120235,0.004868913327989378,8.503382219001052
197,0.7726729281580846,1,0,0.00036656891495601173,0.0017258498292495395,3.766694629056486
198,0.5450669302804515,1,0,0.0036656891495601175,0.005696095895473016,1.1395815454027651
199,0.8498137219490611,1,0,0.00036656891495601173,0.005209306102887972,11.409205381361621
200,0.8269123220251161,1,0,0.00036656891495601173,0.0026653197232263943,5.822582172853521
203,0.723089014020426,-1,0,0.00036656891495601173,0.007095322780830431,15.569398514225082
204,0.7686546338261191,-1,0,0.00036656891495601173,0.0015960647278296471,3.482983765557197
205,0.778768858915907,-1,0,0.00036656891495601173,0.009096080758096873,20.0
206,0.7204159153618928,-1,0,0.00036656891495601173,0.009096080758096873,20.0
