smiles,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,drugban_affinity,moltrans_affinity,tankbind_affinity,unimol_similarity
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C=CCC(O)CC23CC4CC(CC(C4)C2)C3)CC1O,newRef_137,reference,8.628440857,8.341752052,7.292405605,8.699908257,-9.7,-1.164900064,0.933811605,-7.459113,-7.470303,-8.989217,0.4487179487179487
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(CCCO)C1O,G3,transmol-reinvent-gmdldr,7.030872822,8.628754616,7.724279404,9.618787766,-9.748,-2.509484291,0.923128724,-8.099149835,-7.439020115,-9.749862,0.9574146
CCn1c(C(=O)NCCC(=O)O)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,6.423989296,6.235285282,7.069547653,8.684697151,-9.796,-1.703227878,0.923788071,-7.154463357,-6.937304301,-9.748624,0.9612055
CCn1c(C(=O)NCCN(C)C)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,G2,gmdldr_transmol,5.270677567,5.530432701,6.311869621,7.008353233,-9.8,-0.567251921,0.915240407,-7.328707202,-6.917977694,-9.74789,0.9449676
CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(OCCC(C)(C)O)c(C)c1,G2,gmdldr_reinvent,6.236992836,6.576921463,5.888928413,8.264157295,-9.8,-1.014184833,0.920561969,-8.292907154,-6.680556313,-9.746585,0.95652485
CC(C)C[C@H](N)CNC(=O)O,initial_370,reference,5.119577885,5.356033802,5.029389858,6.017521858,-9.8,-1.697735548,0.920069039,-6.998758009,-7.439225344,-9.759065,0.8284018
C=C1C(=CC=C2CCCC3(C)C(C(C)CCCC(C)(C)O)CCC23C)CC(O)CC1O,initial_370,reference,5.157137871,5.962284565,5.818858147,6.799699783,-9.8,-0.800016403,0.917616844,-7.380064,-7.204021,-9.101971,0.4594594594594595
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2(C(=O)OCCCC)CC2)CC(O)CC1O,initial_370,reference,6.15510273,5.891659737,4.893876076,6.415504456,-9.8,-1.109333396,0.934461236,-8.519626,-7.871692,-8.567702,0.3953488372093023
C=C1C(=O)OC(CC(C)C2CCC3C(=CC=C4CC(O)C(OCCCO)C(O)C4=C)CCCC32C)C1C,initial_370,reference,6.247545242,6.66446209,4.885328293,6.258522034,-9.8,-1.097075224,0.927698791,-8.422807334,-7.160631349,-9.754567,0.95103014
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)C(C)C1O,initial_370,reference,5.270677567,5.530432701,6.311869621,7.008353233,-9.8,-0.611342192,0.91869843,-7.559271157,-6.760502491,-9.759294,0.96210843
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC(C)C)CC(O)C(CCCO)C1O,initial_370,reference,6.217824936,6.896080017,4.259407997,8.984104156,-9.8,-1.553682446,0.9261657,-7.727628174,-7.202181635,-9.7570505,0.9574281
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2CCCCc2ccccc2)CC(O)CC1O,initial_370,reference,4.839892864,5.731773853,4.369981289,4.902075768,-9.8,0.909182191,0.92003125,-8.960089115,-6.886424166,-9.751589,0.9372597
CC1=C(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(c2ccccc2)C1O,initial_370,reference,7.169228077,6.638350487,6.194087505,7.945134163,-9.8,-0.751684368,0.911799252,-8.521611,-7.668051,-8.887953,0.419753086419753
