index,is_calib_neg,meta_score
14986,1,0.4823533225389377
15579,1,0.4787444115152174
3288,1,0.4290070455926845
12246,1,0.4576566340404144
2790,1,0.4304889196146032
15143,1,0.4604841799044432
15162,1,0.4658226607787658
3669,1,0.4900040633977783
7796,1,0.5412451361468341
12839,1,0.4452651221849444
6760,1,0.4341558743698689
4780,1,0.4518566975366164
7953,1,0.4720140131676461
8527,1,0.470466054185341
12253,1,0.4220377716387458
11084,1,0.4289437547586668
3555,1,0.4500632475315093
12138,1,0.4762030746652193
14500,1,0.4742349152089488
4006,1,0.4473726749257469
3887,1,0.4838366620211859
13917,1,0.4691480876644997
13193,1,0.4231673814081362
14237,1,0.4635175364984299
2900,1,0.4819128837753059
12691,1,0.5486683109942391
16192,1,0.4785373811603731
13906,1,0.427192863073853
14135,1,0.4752073548942579
3564,1,0.5315437436005354
15080,1,0.488872394885993
7084,1,0.449828830002479
6759,1,0.4126562916623658
11479,1,0.4236779304055876
4679,1,0.4921898847933137
8118,1,0.4541336736581957
15975,1,0.4895592620475866
15491,1,0.4663021742666327
15478,1,0.4690001038768196
13302,1,0.4985126451863318
10143,1,0.4813965226627168
11751,1,0.4482874414744478
12823,1,0.5110738364080392
11616,1,0.5025913654095008
11665,1,0.4493308207582954
3927,1,0.4554648754719799
13932,1,0.4940741783658257
8289,1,0.4370681600763464
4206,1,0.4612686279339182
13304,1,0.4681297709943354
3977,1,0.4018124277149628
7206,1,0.4418547798966877
13103,1,0.4306716648771064
11277,1,0.4632294871073189
15981,1,0.4956770155270924
4422,1,0.4328341070716734
15122,1,0.4329642775390338
15750,1,0.4670169238423658
7153,1,0.4714494797510999
12494,1,0.4211679042191948
11796,1,0.4459498549434252
11118,1,0.468356079967085
12062,1,0.4558277298271718
13778,1,0.491905783489151
8692,1,0.4496174348246273
13288,1,0.4913355104789945
14742,1,0.4784710401855298
15997,1,0.400725194107278
5556,1,0.4577368003809217
2843,1,0.4625373574433343
3305,1,0.4472722088408647
4229,1,0.5044316444964316
7061,1,0.4809283588034644
5845,1,0.5011492264540185
12964,1,0.4657782906708189
6651,1,0.4984387075302339
12130,1,0.4754918801045266
5653,1,0.4252654454150306
7264,1,0.4264025652630208
14807,1,0.4693400410970596
8539,1,0.4525478497545963
6473,1,0.4328603376518239
16145,1,0.4164131098699569
3492,1,0.4574400724262193
12239,1,0.4669396799219839
10428,1,0.463335558559431
15572,1,0.4830327959094329
11950,1,0.4230775771392506
7631,1,0.4222297293648799
4486,1,0.4828409361594081
8618,1,0.4796135493557422
15595,1,0.4736343427190108
16118,1,0.5026139294557894
8756,1,0.4948627680420155
12652,1,0.4560505999641479
15812,1,0.4821836544439205
14088,1,0.5007440247646097
4292,1,0.4973506557734763
1822,1,0.4688156042595068
10971,1,0.4513788702470358
3724,1,0.4233033756282298
6092,1,0.4491682986557899
15971,1,0.4958311830043294
5993,1,0.4905386826926073
11310,1,0.5007786960929453
15924,1,0.5068246016967635
11279,1,0.4494921066229749
12908,1,0.4060611531676004
4650,1,0.4800458065077095
10542,1,0.5319870138848763
11634,1,0.4921962422035492
4545,1,0.4399267220717066
12442,1,0.4958849166275045
10389,1,0.4803121403235587
11153,1,0.4142065296907479
3688,1,0.4795234403379798
4982,1,0.4303135291133659
15573,1,0.4852283824670992
15276,1,0.4330552401292931
1747,1,0.4276186033009459
4536,1,0.4728627442779359
3946,1,0.4776389072825759
5761,1,0.4331404192259636
8537,1,0.4670519054248795
14981,1,0.50244855206091
12380,1,0.5182651733599021
14175,1,0.4218880873034765
8073,1,0.4669535582519998
6243,1,0.4105626129459261
14706,1,0.4469428340295547
12861,1,0.5379469536270487
6885,1,0.4780608046012448
3693,1,0.4438488627325293
4567,1,0.4318011903920759
12304,1,0.4215524209414538
15517,1,0.4775190015635998
1820,1,0.5064604496772791
6236,1,0.4181389217724803
11828,1,0.4407169687145293
12836,1,0.4629398903845356
12184,1,0.448682228522383
13697,1,0.4431054520874617
13609,1,0.4572303248468937
