fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc
2,Boltz_confidence,8.25390700366583,3,9.629558170943469,7,12.054794520547945,44,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9576044439680935,0.060014003686996185,0.5012928055893582
2,TankBind,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.3424657534246575,5,0.228310502283105,5,0.33194193796945104,0.003586695896635518,0.014459258167098506
2,DrugBAN,2.7513023345552767,1,1.3756511672776384,1,1.643835616438356,6,1.2328767123287672,9,1.36986301369863,20,1.3242009132420092,29,0.5418992498438181,0.006304203770485622,0.07419664288996526
2,MolTrans,0.0,0,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.6164383561643836,9,0.776255707762557,17,0.34979061479204865,0.0038656233446378724,0.026751123220979167
2,UniMol_sim,24.76172101099749,9,19.259116341886937,14,11.506849315068493,42,6.027397260273973,44,3.4246575342465753,50,2.557077625570776,56,0.760477226401558,0.05866947529685326,0.45081782845367946
3,GraphDTA_Kd,0.0,0,0.0,0,0.547945205479452,2,1.095890410958904,8,0.958904109589041,14,1.0502283105022832,23,0.5782343665964693,0.006022048756405131,0.04229780891162544
3,GraphDTA_Ki,0.0,0,0.0,0,0.273972602739726,1,0.273972602739726,2,0.2054794520547945,3,0.228310502283105,5,0.14293714774571742,0.0029183894933696563,0.011717225791530285
3,GraphDTA_IC50,8.25390700366583,3,19.259116341886937,14,8.219178082191782,30,4.931506849315069,36,2.671232876712329,39,2.0547945205479454,45,0.7110155834349603,0.03945179696821839,0.3441807199401039
3,MLTLE_pKd,2.7513023345552767,1,4.126953501832915,3,3.0136986301369864,11,3.0136986301369864,22,2.0547945205479454,30,1.8721461187214612,41,0.7005236319957204,0.011827489589693117,0.15339946529796705
3,Vina,0.0,0,0.0,0,1.36986301369863,5,1.5068493150684932,11,1.917808219178082,28,1.7808219178082192,39,0.7080300216964982,0.008695790466284471,0.0749652980481213
3,Boltz_affinity,5.5026046691105535,2,6.878255836388192,5,7.945205479452055,29,6.301369863013699,46,4.2465753424657535,62,3.0136986301369864,66,0.8812167419333347,0.03270716559923923,0.3368391021427716
3,Boltz_confidence,19.259116341886937,7,12.380860505498745,9,10.136986301369863,37,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9525554458017228,0.05414932369457921,0.4615021797516868
3,TankBind,2.7513023345552767,1,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.2054794520547945,3,0.228310502283105,5,0.2993962251762418,0.003507380358378512,0.024164776565303584
3,DrugBAN,8.25390700366583,3,4.126953501832915,3,1.917808219178082,7,1.643835616438356,12,1.3013698630136987,19,1.3242009132420092,29,0.5777337153152944,0.00801094041685358,0.09839415454333347
3,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.410958904109589,3,0.4794520547945205,7,0.45662100456621,10,0.25783251307631627,0.0033039265107783445,0.020288185735278276
