fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc,test_mean_rank
4,TankBind,2.7513023345552767,1,1.3756511672776384,1,0.547945205479452,2,0.273972602739726,2,0.410958904109589,6,0.365296803652968,8,0.3354189780147946,0.008099863156027284,0.01740450279912756,9465.410958904109
4,DrugBAN,8.25390700366583,3,6.878255836388192,5,1.917808219178082,7,2.191780821917808,16,1.9863013698630136,29,1.8721461187214612,41,0.6235618948854392,0.012226120308420067,0.0626421018537197,5377.527397260274
4,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.273972602739726,2,0.547945205479452,8,0.639269406392694,14,0.2937760886630728,0.003440928943184765,0.000793926636986905,10056.198630136987
4,UniMol_sim,13.756511672776384,5,17.8834651746093,13,12.054794520547945,44,6.438356164383562,47,3.356164383561644,49,2.4657534246575343,54,0.7501248007292032,0.06272906406336343,0.25466120051153834,3581.9794520547944
5,GraphDTA_Kd,0.0,0,0.0,0,0.273972602739726,1,0.547945205479452,4,0.821917808219178,12,0.958904109589041,21,0.5212962667925778,0.005186807834123858,0.004987961938725831,6828.369863013699
5,GraphDTA_Ki,0.0,0,0.0,0,0.547945205479452,2,0.273972602739726,2,0.273972602739726,4,0.273972602739726,6,0.16600476415317517,0.002938026058814918,0.003994919762496915,11868.890410958904
5,GraphDTA_IC50,33.01562801466332,12,24.76172101099749,18,8.219178082191782,30,4.52054794520548,33,2.73972602739726,40,1.9634703196347032,43,0.6846698356878911,0.07363372175563795,0.2762822294804602,4510.58904109589
5,MLTLE_pKd,2.7513023345552767,1,6.878255836388192,5,1.917808219178082,7,2.4657534246575343,18,1.7123287671232876,25,1.735159817351598,38,0.6504705735812546,0.01045692969827915,0.0539170048917304,4995.773972602739
5,Vina,5.5026046691105535,2,4.126953501832915,3,1.917808219178082,7,2.0547945205479454,15,1.8493150684931507,27,1.8721461187214612,41,0.7074878506369424,0.010619604506207848,0.04795463180972575,4186.869863013699
5,Boltz_affinity,2.7513023345552767,1,6.878255836388192,5,7.397260273972603,27,5.7534246575342465,42,3.835616438356164,56,2.8767123287671232,63,0.8632203319458004,0.02975095719463651,0.11203539670502226,1977.4931506849316
5,Boltz_confidence,5.5026046691105535,2,9.629558170943469,7,10.684931506849315,39,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9519857558192866,0.053165633063552015,0.15483632629500726,718.1780821917808
5,TankBind,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.136986301369863,2,0.182648401826484,4,0.30152483800044605,0.003412029215758059,0.006634136009867606,9946.267123287671
