fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_2.5,test_hits_2.5,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_auroc,test_auprc,test_bedroc,test_mean_rank
3,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.5263864358883786,2,0.2631932179441893,2,0.197394913458142,3,0.16589233352503072,0.0028658203744682483,0.0011179597389973741,12404.980263157895
3,GraphDTA_IC50,15.898293029871978,6,17.107559166372308,13,12.123160724391624,23,9.474955845990817,36,5.263864358883787,40,2.895125397386083,44,0.7471303080647795,0.04031616046042064,0.1946998838153568,3787.5460526315787
3,MLTLE_pKd,0.0,0,1.3159660897209466,1,2.108375778155065,4,1.8423525256093254,7,1.8423525256093254,14,1.4475626986930414,22,0.6048118703273764,0.007503014938413552,0.02817597105550275,5897.559210526316
3,Vina,0.0,0,3.94789826916284,3,2.108375778155065,4,2.368738961497704,9,2.1055457435535145,16,1.776554221123278,27,0.6856584627290606,0.00971648371188354,0.04263770496341107,4698.9276315789475
3,Boltz_affinity,0.0,0,0.0,0,3.1625636672325976,6,5.263864358883787,20,4.211091487107029,32,3.8163016601907453,58,0.8328354526542986,0.019341639630540006,0.042054284273227466,2516.8815789473683
3,Boltz_confidence,7.949146514935989,3,10.527728717767573,8,11.596066779852858,22,11.84369480748852,45,8.816972801130342,67,5.000671140939597,76,0.9541222035258117,0.05746133064825039,0.1766049045760583,718.6842105263158
3,TankBind,0.0,0,0.0,0,0.5270939445387662,1,0.2631932179441893,1,0.13159660897209466,1,0.13159660897209466,2,0.34595562915788053,0.003579914077242716,0.003387001629755554,9735.361842105263
3,DrugBAN,0.0,0,1.3159660897209466,1,1.0541878890775325,2,1.0527728717767573,4,1.184369480748852,9,1.2501677852348994,19,0.5472338778958727,0.00610440935293086,0.012685708126476984,6751.210526315789
3,MolTrans,0.0,0,0.0,0,0.5270939445387662,1,0.2631932179441893,1,0.13159660897209466,1,0.46058813140233135,7,0.26097644962264016,0.003236557023627827,0.00491271877076711,10995.263157894737
3,UniMol_sim,7.949146514935989,3,5.263864358883787,4,5.270939445387663,10,3.94789826916284,15,3.0267220063581775,23,2.237142352525609,34,0.7088201204143504,0.015237654122965228,0.07858685144742739,4355.5328947368425
4,GraphDTA_Kd,29.146870554765293,11,14.475626986930413,11,5.798033389926429,11,2.895125397386083,11,1.579159307665136,12,1.3159660897209466,20,0.5311144362322235,0.03394888163441347,0.15003027124606205,6990.1973684210525
4,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.0,0,0.2631932179441893,2,0.2631932179441893,4,0.16925724367576167,0.002865997603605642,0.00032055957924928297,12355.092105263158
4,GraphDTA_IC50,23.847439544807965,9,21.055457435535146,16,12.123160724391624,23,8.422182974214058,32,4.605881314023313,35,2.96092370187213,45,0.702177717665268,0.059168466092121855,0.22944544968703384,4454.013157894737
4,MLTLE_pKd,5.299431009957326,2,2.6319321794418933,2,2.108375778155065,4,1.8423525256093254,7,1.4475626986930414,11,1.2501677852348994,19,0.5718989399845222,0.007356373908765616,0.03643428420442602,6385.526315789473
4,Vina,2.649715504978663,1,3.94789826916284,3,1.5812818336162988,3,1.579159307665136,6,1.8423525256093254,14,1.579159307665136,24,0.6815121195339624,0.00918965833508791,0.03420321609979596,4760.401315789473
4,Boltz_affinity,0.0,0,1.3159660897209466,1,2.6354697226938315,5,3.6847050512186508,14,5.000671140939597,38,3.6847050512186508,56,0.8206520195673318,0.02003591811442963,0.038817903319225404,2697.5131578947367
