source,smiles,meta_score,pval,pval_weighted,pval_unweighted,qval,selected,pu_label
initial_370,COc1cccc(-c2nc(C)c(COc3ccccc3C(=O)O)o2)c1,0.7928771910224085,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G3,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)CC1O,0.7923735087182836,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
initial_370,CCC(CC)(c1ccc(/C=C/C(O)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(OC[C@@H](O)CCC(=O)O)c(C)c1,0.7923273870161264,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
newRef_137,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(CCn2ncnn2)C1O,0.7904199314423414,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
newRef_137,C=C1C(=CC=C2CCCC(C)(C(C)C(C)CC3CC(C)(O)C(=O)N3CCc3ccccc3)C2C)CC(O)CC1O,0.7896646178371516,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
newRef_137,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(C)C1O,0.7895272337046473,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC(O)C(CCCO)C1O,0.7895109605606727,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)C[C@H](OC)[C@@H]23)C[C@@H](O)C[C@@H]1O,0.7891644864969957,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCC)c2)CC(O)CC1O,0.7888296201135558,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)c4ccc(C(C)(C)O)o4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.7886563051960823,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G3,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(CCCO)C1O,0.788646650506901,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
initial_370,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)O)n1C,0.7885240641547094,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C4\CC[C@](CC)(C(=O)OC)C4=O)CC[C@@H]23)C[C@@H](O)[C@H](OCCCO)[C@@H]1O,0.7873178619618412,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C=C1/C(=C\C=C(/CCCC)c2cccc(CCCCCC(C)(C)O)c2)C[C@@H](O)C[C@@H]1O,0.7871886059017753,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
newRef_137,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC2OCC=C2C1O,0.7871867940485844,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(CCCCCCC(C)(C)O)CCC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.7868487662083379,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
initial_370,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)[C@H](CCn2cnnn2)[C@@H]1O,0.7866396258627656,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCCO)CC(O)CC1O,0.7863170202279748,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
G2,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2C)CC(O)CC1O,0.7855962084263008,0.0003703703703703,0.0577030461507886,0.0003703703703703,0.0003703703703703,True,-1
newRef_137,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC#CC(O)CC23CC4CC(CC(C4)C2)C3)CC1O,0.7855660297502315,0.0003703703703703,0.0577030461507886,0.0003703703703703,,False,1
