index,meta_score,pu_label,source,smiles
75,0.616436048424589,1,initial_370,CCC(C)C(CO)NC(=O)c1ccc(C(CC)(CC)c2ccc(OCCC(O)(CC)CC)c(C)c2)n1CC
79,0.8005603543609631,-1,G3,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)O)n1C
80,0.6852456986896299,-1,G2,CCn1c(C(=O)NCCCN(C)C)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1
81,0.7528001607605426,-2,G2,CCn1c(C(=O)NCCCN(C)C)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1
82,0.7256957431381263,-1,G2,CCn1c(C(=O)NCCN)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1
83,0.7603620764372353,1,initial_370,C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)CC#C[C@@H](O)[C@]45C[C@H]6C[C@H](C[C@H](C6)C4)C5)CC[C@@H]23)C[C@H]1O
84,0.6539995978729004,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)C(CCCO)C1O
85,0.6637115736670632,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC(C)C)CC(O)CC1O
86,0.7308115722637105,1,initial_370,CCC(CC)(c1ccc(NCC(O)CO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1
87,0.7226775835366663,1,initial_370,CCC(CC)(c1ccc(NCC(O)CO)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1
88,0.7737866874674966,1,initial_370,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2CCCc2cc(OC)cc(OC)c2)CC(O)CC1O
89,0.5917089224531171,1,initial_370,CCCCC1C(O)CC(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)=C(C)C1O
